site_id,date,time,aqi,status
35,2024-08-31,16,52,Moderate
32,2024-08-31,16,45,Good
33,2024-08-31,16,54,Moderate
34,2024-08-31,16,49,Good
19,2024-08-31,16,39,Good
36,2024-08-31,16,71,Moderate
37,2024-08-31,16,67,Moderate
38,2024-08-31,16,59,Moderate
39,2024-08-31,16,52,Moderate
40,2024-08-31,16,51,Moderate
20,2024-08-31,16,52,Moderate
313,2024-08-31,16,29,Good
18,2024-08-31,16,42,Good
7,2024-08-31,16,58,Moderate
42,2024-08-31,16,71,Moderate
204,2024-08-31,16,74,Moderate
1,2024-08-31,16,67,Moderate
2,2024-08-31,16,58,Moderate
3,2024-08-31,16,67,Moderate
4,2024-08-31,16,90,Moderate
5,2024-08-31,16,115,"Unhealthy for Sensitive Groups"
6,2024-08-31,16,112,"Unhealthy for Sensitive Groups"
8,2024-08-31,16,65,Moderate
17,2024-08-31,16,48,Good
9,2024-08-31,16,46,Good
10,2024-08-31,16,42,Good
11,2024-08-31,16,47,Good
12,2024-08-31,16,58,Moderate
13,2024-08-31,16,64,Moderate
14,2024-08-31,16,80,Moderate
15,2024-08-31,16,57,Moderate
16,2024-08-31,16,69,Moderate
41,2024-08-31,16,49,Good
21,2024-08-31,16,71,Moderate
43,2024-08-31,16,61,Moderate
77,2024-08-31,16,51,Moderate
65,2024-08-31,16,39,Good
66,2024-08-31,16,36,Good
67,2024-08-31,16,69,Moderate
68,2024-08-31,16,61,Moderate
69,2024-08-31,16,71,Moderate
70,2024-08-31,16,65,Moderate
71,2024-08-31,16,60,Moderate
72,2024-08-31,16,64,Moderate
78,2024-08-31,16,48,Good
63,2024-08-31,16,23,Good
80,2024-08-31,16,18,Good
83,2024-08-31,16,45,Good
84,2024-08-31,16,44,Good
85,2024-08-31,16,48,Good
201,2024-08-31,16,67,Moderate
202,2024-08-31,16,48,Good
203,2024-08-31,16,54,Moderate
311,2024-08-31,16,58,Moderate
64,2024-08-31,16,38,Good
75,2024-08-31,16,50,Good
44,2024-08-31,16,57,Moderate
53,2024-08-31,16,56,Moderate
312,2024-08-31,16,NULL,NULL
45,2024-08-31,16,54,Moderate
46,2024-08-31,16,57,Moderate
47,2024-08-31,16,50,Good
48,2024-08-31,16,65,Moderate
49,2024-08-31,16,62,Moderate
51,2024-08-31,16,80,Moderate
52,2024-08-31,16,64,Moderate
50,2024-08-31,16,59,Moderate
54,2024-08-31,16,53,Moderate
58,2024-08-31,16,67,Moderate
61,2024-08-31,16,19,Good
60,2024-08-31,16,53,Moderate
59,2024-08-31,16,60,Moderate
62,2024-08-31,16,34,Good
57,2024-08-31,16,59,Moderate
56,2024-08-31,16,56,Moderate
54,2024-08-31,15,56,Moderate
64,2024-08-31,15,36,Good
63,2024-08-31,15,22,Good
62,2024-08-31,15,35,Good
61,2024-08-31,15,19,Good
60,2024-08-31,15,58,Moderate
59,2024-08-31,15,65,Moderate
58,2024-08-31,15,71,Moderate
57,2024-08-31,15,67,Moderate
56,2024-08-31,15,62,Moderate
45,2024-08-31,15,57,Moderate
53,2024-08-31,15,61,Moderate
52,2024-08-31,15,65,Moderate
51,2024-08-31,15,86,Moderate
50,2024-08-31,15,63,Moderate
49,2024-08-31,15,66,Moderate
48,2024-08-31,15,68,Moderate
47,2024-08-31,15,45,Good
46,2024-08-31,15,61,Moderate
66,2024-08-31,15,38,Good
65,2024-08-31,15,37,Good
313,2024-08-31,15,28,Good
67,2024-08-31,15,71,Moderate
84,2024-08-31,15,44,Good
43,2024-08-31,15,62,Moderate
312,2024-08-31,15,NULL,NULL
311,2024-08-31,15,58,Moderate
204,2024-08-31,15,73,Moderate
203,2024-08-31,15,56,Moderate
202,2024-08-31,15,53,Moderate
201,2024-08-31,15,70,Moderate
85,2024-08-31,15,47,Good
83,2024-08-31,15,44,Good
68,2024-08-31,15,59,Moderate
80,2024-08-31,15,17,Good
78,2024-08-31,15,46,Good
77,2024-08-31,15,55,Moderate
75,2024-08-31,15,49,Good
72,2024-08-31,15,63,Moderate
71,2024-08-31,15,64,Moderate
70,2024-08-31,15,67,Moderate
69,2024-08-31,15,74,Moderate
44,2024-08-31,15,60,Moderate
24,2024-08-31,15,41,Good
42,2024-08-31,15,63,Moderate
9,2024-08-31,15,47,Good
18,2024-08-31,15,43,Good
17,2024-08-31,15,44,Good
16,2024-08-31,15,69,Moderate
15,2024-08-31,15,58,Moderate
14,2024-08-31,15,64,Moderate
13,2024-08-31,15,54,Moderate
12,2024-08-31,15,61,Moderate
11,2024-08-31,15,44,Good
8,2024-08-31,15,67,Moderate
20,2024-08-31,15,51,Moderate
7,2024-08-31,15,60,Moderate
6,2024-08-31,15,97,Moderate
5,2024-08-31,15,93,Moderate
4,2024-08-31,15,74,Moderate
3,2024-08-31,15,54,Moderate
2,2024-08-31,15,59,Moderate
1,2024-08-31,15,53,Moderate
41,2024-08-31,15,49,Good
19,2024-08-31,15,39,Good
10,2024-08-31,15,46,Good
21,2024-08-31,15,63,Moderate
32,2024-08-31,15,48,Good
22,2024-08-31,15,54,Moderate
39,2024-08-31,15,57,Moderate
38,2024-08-31,15,61,Moderate
37,2024-08-31,15,65,Moderate
36,2024-08-31,15,67,Moderate
35,2024-08-31,15,57,Moderate
34,2024-08-31,15,56,Moderate
33,2024-08-31,15,60,Moderate
40,2024-08-31,15,55,Moderate
31,2024-08-31,15,54,Moderate
27,2024-08-31,15,56,Moderate
25,2024-08-31,15,50,Good
26,2024-08-31,15,44,Good
23,2024-08-31,15,44,Good
28,2024-08-31,15,53,Moderate
29,2024-08-31,15,52,Moderate
30,2024-08-31,15,59,Moderate
23,2024-08-31,14,43,Good
32,2024-08-31,14,55,Moderate
24,2024-08-31,14,43,Good
25,2024-08-31,14,54,Moderate
26,2024-08-31,14,50,Good
27,2024-08-31,14,58,Moderate
28,2024-08-31,14,56,Moderate
29,2024-08-31,14,58,Moderate
30,2024-08-31,14,64,Moderate
31,2024-08-31,14,55,Moderate
36,2024-08-31,14,71,Moderate
33,2024-08-31,14,67,Moderate
34,2024-08-31,14,59,Moderate
35,2024-08-31,14,64,Moderate
21,2024-08-31,14,56,Moderate
37,2024-08-31,14,69,Moderate
38,2024-08-31,14,68,Moderate
39,2024-08-31,14,59,Moderate
40,2024-08-31,14,57,Moderate
41,2024-08-31,14,46,Good
22,2024-08-31,14,53,Moderate
313,2024-08-31,14,26,Good
20,2024-08-31,14,53,Moderate
