county,sitename,Date,pm2.5,pm10,no,no2,nox,co,so2,o3,AQI,status
Region XII (SOCCSKSARGEN),Tacurong,2021-07-01,13.321615631365948,30.975782454027552,10.398139419796644,19.76143202573765,15.984572866133178,0.4240823212602735,7.729707781022595,24.04744120480107,54.0,very unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2021-08-01,10.977097207836408,21.957191501688783,8.273408171537277,19.22331129926953,14.573261319527608,0.243456742848399,5.170455246339557,31.84951413115669,46.0,very unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2021-09-01,15.0790433531055,26.6876711212418,5.974820604154627,15.52008387576329,11.392299374356496,0.7067752001069985,8.47811156693327,46.60771201566598,57.0,acutely unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2021-10-01,9.190768341441585,19.4909129415114,4.287410260680275,13.88754155569363,9.632724462678173,0.3032073534029275,5.383343891324648,37.594948620758935,38.0,unhealthy for sensitive group
Region XII (SOCCSKSARGEN),Tacurong,2021-11-01,18.78572167206071,46.15769473928886,14.612783040222997,20.01043895989477,18.35030766006242,0.9188349757374388,9.578226747774638,64.98079046812002,65.0,acutely unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2021-12-01,23.8175625501696,50.04449456432515,8.412648237615848,38.862377446413255,25.055763612535426,0.6354577697347331,8.221684429393775,25.189608710060387,76.0,acutely unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2022-01-01,9.790589648865796,20.85023013378873,5.792625586687191,16.809531461296846,11.97914323543154,0.2121718646928202,3.1428528983307307,54.0274983964138,41.0,unhealthy for sensitive group
Region XII (SOCCSKSARGEN),Tacurong,2022-02-01,16.937953859917197,41.23969469957815,9.19326488761037,18.110463480564185,14.470976035132514,0.3539201279170565,5.070030314407541,38.32820241528388,61.0,acutely unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2022-03-01,2.0,4.03055020061549,0.7518986304031586,2.0413430369378,1.4804180836907082,0.0769310470443802,0.7722054539363261,33.414261422861934,8.0,good
Region XII (SOCCSKSARGEN),Tacurong,2022-04-01,20.62002415250686,51.47495115384974,15.326631902842845,36.384753747039056,27.407034394437407,0.93039639785509,9.634162424173162,51.8369091532354,69.0,acutely unhealthy
